miles_per_year,1.4574157244650615e-35
"2,6",8.000252818186614e-27
"3,6",8.428256110819688e-25
"3,7",9.459590704462607e-25
"2,7",1.5022853143933827e-24
buy_over_warr_cost,7.590379732099115e-23
intercept,1.681089833805919e-11
MMRAcquisitonRetailCleanPrice,2.2719779705900863e-11
"1,2",3.742454334214481e-11
"1,3",1.927985941221691e-10
MMRCurrentAuctionAveragePrice,6.14654423793394e-10
"2,3",1.0051713291560353e-08
MMRAcquisitionAuctionAveragePrice,2.3159412425205393e-05
MMRCurrentRetailCleanPrice,0.0008212067974545576
trunc_zip,0.0023778093185744032
"0,3",0.002505485969883095
MMRCurrentRetailAveragePrice,0.28285952187309416
